time,coin,direction,rule,entry_price,exit_price,pnl,result,detail
2026-06-23 05:15:33,ETH,看涨,HC2,1717.43,1711.42,-5,输,RSI底背离 V=1.6x
2026-06-23 05:17:37,BTC,看涨,HC2,63661.9,63437.9,-5,输,RSI底背离 V=1.2x
2026-06-23 05:47:38,BTC,看涨,HC1,63369.1,63378.1,4,赢,极限超卖 R7=16 P20=0.01
2026-06-23 06:16:07,ETH,看涨,HC1,1706.82,1684.74,-5,输,极限超卖 R7=23 P20=0.16
2026-06-23 06:17:40,BTC,看涨,HC1,63208.6,62608.1,-5,输,极限超卖 R7=19 P20=0.12
2026-06-23 19:00:05,ETH,LONG,PP+SK,1650.96,1655.33,8,WIN,P20=0.037 R7=32 VR=0.74 SK=4 FG=23
2026-06-23 19:00:07,BTC,LONG,PP+SK,62150.0,62241.2,8,WIN,P20=0.000 R7=31 VR=0.40 SK=0 FG=23
2026-06-24 03:15:14,BTC,LONG,VR+SK,62634.6,62600.1,-10,LOSS,P20=0.217 R7=31 VR=2.42 SK=8 FG=17
2026-06-24 03:30:08,BTC,LONG,PP+VR+SK,62600.1,62683.0,16,WIN,P20=0.162 R7=28 VR=1.98 SK=5 FG=17
2026-06-24 04:45:04,ETH,LONG,PP+SK,1659.7,1664.8,8,WIN,P20=0.075 R7=28 VR=0.87 SK=8 FG=17
2026-06-24 10:45:07,BTC,LONG,PP+VR,62549.7,62599.3,8,WIN,P20=0.127 R7=27 VR=1.43 SK=20 FG=17
2026-06-24 11:15:05,ETH,LONG,PP+SK,1663.83,1658.85,-10,LOSS,P20=0.066 R7=28 VR=0.48 SK=8 FG=17
2026-06-24 11:15:07,BTC,LONG,PP+VR+SK,62449.1,62381.5,-20,LOSS,P20=0.060 R7=25 VR=0.91 SK=8 FG=17
